State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.965132572996524	0.01758843283937537	0.0010373014610939358	7.549732788735783E-5	4.740673233455378E-4	0.010369488796388568	6.214175438085394E-4	7.333199697196847E-5	0.004269839872151914	3.5804984245286033E-4
2	0.031873602719273614	0.9411633517704204	0.02581935356617941	7.576569552127751E-5	0.0	6.779209988613356E-4	3.2290006432171355E-5	0.0	0.0	3.577152433117911E-4
3	0.011140261852532413	0.14871203098942798	0.7278567155174827	0.0825206804833217	0.010790738068662263	0.01831321036857038	5.495579911428512E-4	0.0	0.0	1.1680472885980297E-4
4	0.0012275327048455827	5.8332540902502E-4	0.10964244708613843	0.803554014719289	0.07349946534420917	0.004916758002350136	0.006319776238969444	0.0	1.855963045390616E-4	7.108419063409348E-5
5	0.0029642498376963385	0.0	0.007216319963713325	0.041271831824549896	0.753946503446676	0.1725399374319696	0.016581968595519466	0.0	0.005479188899875217	0.0
6	0.03599768972231968	0.0012158628921283686	0.006381735682712404	0.0013102675147929619	0.08176566516742363	0.7142148939034566	0.001914976157713143	0.0	0.15231904013624914	0.004879868823204011
7	0.011997614030748012	3.1495344061796424E-4	6.283852891385368E-4	0.00958137587683995	0.04280318359306511	0.008629509710701222	0.7327710573115173	0.08852883148512423	0.10051451007407566	0.00423057918817196
8	9.131378775766093E-5	0.0	0.0	0.0	0.0	0.0	0.015497827156973095	0.9320150693854485	0.05110994024517816	0.0012858494246426647
9	4.118831132879118E-4	0.0	0.0	2.2545060326491847E-6	8.458821795967434E-5	0.0043062085488029785	5.447472748950713E-4	0.0015324384506088485	0.9883465934490502	0.004771286439362646
10	5.37392555258358E-4	2.524901445150005E-4	1.6187477841977334E-5	0.0	3.916553033539319E-5	0.0017601534396899637	2.9208449640909896E-4	5.598246175317048E-4	0.06509812582749545	0.9314445759109231
